,Index,incident_number,crime,occurred_on,month,intersection,city,state,geometry,location,time,day_of_week,moon_phaseid,moon_phase
732,14062,1731702025,Theft From Motor Vehicle,11/13/17,Nov,3000 6TH AV,  TACOMA,   WA,-122.474783  47.255277,"47.255277, -122.474783",18:00,Monday,0,0
733,13736,1729609012,Theft From Motor Vehicle,10/22/17,Oct,600 N PROCTOR ST,  TACOMA,   WA,-122.48906  47.255271,"47.255271, -122.48906",16:00,Sunday,0,0
734,14183,1733100633,Theft From Motor Vehicle,11/26/17,Nov,600 N WARNER ST,  TACOMA,   WA,-122.480685  47.255269,"47.255269, -122.480685",17:00,Sunday,2,First Quarter
735,12528,1711200554,Theft From Motor Vehicle,4/22/17,Apr,600 N CEDAR ST,  TACOMA,   WA,-122.47627  47.255268,"47.255268, -122.47627",8:00,Saturday,0,0
736,13653,1729200153,Theft From Motor Vehicle,10/19/17,Oct,3100 6TH AV,  TACOMA,   WA,-122.47627  47.255268,"47.255268, -122.47627",2:00,Thursday,1,New Moon
737,11885,1702209006,Theft From Motor Vehicle,1/21/17,Jan,3500 6TH AV,  TACOMA,   WA,-122.482152  47.255263,"47.255263, -122.482152",23:00,Saturday,0,0
738,11886,1702209007,Theft From Motor Vehicle,1/21/17,Jan,3500 6TH AV,  TACOMA,   WA,-122.482152  47.255263,"47.255263, -122.482152",21:00,Saturday,0,0
739,11995,1703709001,Theft From Motor Vehicle,2/4/17,Feb,3500 6TH AV,  TACOMA,   WA,-122.482152  47.255263,"47.255263, -122.482152",23:00,Saturday,0,0
740,11996,1703709005,Theft From Motor Vehicle,2/5/17,Feb,3500 6TH AV,  TACOMA,   WA,-122.482152  47.255263,"47.255263, -122.482152",19:00,Sunday,0,0
741,12232,1707009002,Theft From Motor Vehicle,3/9/17,Mar,3500 6TH AV,  TACOMA,   WA,-122.482152  47.255263,"47.255263, -122.482152",21:00,Thursday,0,0
742,13633,1728909018,Theft From Motor Vehicle,10/8/17,Oct,3500 6TH AV,  TACOMA,   WA,-122.482152  47.255263,"47.255263, -122.482152",6:00,Sunday,0,0
743,13956,1730300978,Theft From Motor Vehicle,10/30/17,Oct,3500 6TH AV,  TACOMA,   WA,-122.482152  47.255263,"47.255263, -122.482152",12:00,Monday,0,0
744,11649,1700201386,Theft From Motor Vehicle,1/2/17,Jan,3800 6TH AV,  TACOMA,   WA,-122.486575  47.255262,"47.255262, -122.486575",18:00,Monday,0,0
745,12823,1724209005,Theft From Motor Vehicle,8/27/17,Aug,3800 6TH AV,  TACOMA,   WA,-122.486575  47.255262,"47.255262, -122.486575",2:00,Sunday,0,0
746,13977,1730600771,Theft From Motor Vehicle,11/2/17,Nov,3600 6TH AV,  TACOMA,   WA,-122.483622  47.255259,"47.255259, -122.483622",10:00,Thursday,0,0
747,13269,1704209015,Theft From Motor Vehicle,2/10/17,Feb,900 PACIFIC AV,  TACOMA,   WA,-122.439051  47.255258,"47.255258, -122.439051",23:00,Friday,3,Full Moon
748,12665,1714100782,Theft From Motor Vehicle,5/20/17,May,600 S LAWRENCE ST,  TACOMA,   WA,-122.479215  47.255252,"47.255252, -122.479215",22:00,Saturday,0,0
749,12744,1715209011,Theft From Motor Vehicle,5/26/17,May,3300 6TH AV,  TACOMA,   WA,-122.479215  47.255252,"47.255252, -122.479215",23:00,Friday,0,0
750,13480,1727309017,Theft From Motor Vehicle,9/30/17,Sep,3300 6TH AV,  TACOMA,   WA,-122.479215  47.255252,"47.255252, -122.479215",1:00,Saturday,0,0
751,13706,1729300416,Theft From Motor Vehicle,10/19/17,Oct,3300 6TH AV,  TACOMA,   WA,-122.479215  47.255252,"47.255252, -122.479215",22:00,Thursday,1,New Moon
752,14120,1732409007,Theft From Motor Vehicle,11/20/17,Nov,700 S GRANT AV,  TACOMA,   WA,-122.461286  47.255226,"47.255226, -122.461286",7:00,Monday,0,0
753,12322,1708100395,Theft From Motor Vehicle,3/22/17,Mar,600 S JACKSON AV,  TACOMA,   WA,-122.536965  47.255221,"47.255221, -122.536965",6:00,Wednesday,0,0
754,13409,1727009012,Theft From Motor Vehicle,9/26/17,Sep,600 S UNION AV,  TACOMA,   WA,-122.483624  47.255092,"47.255092, -122.483624",12:00,Tuesday,0,0
755,11679,1700401689,Theft From Motor Vehicle,1/4/17,Jan,600 S PINE ST,  TACOMA,   WA,-122.473618  47.254856,"47.254856, -122.473618",14:00,Wednesday,0,0
756,12455,1709809008,Theft From Motor Vehicle,4/7/17,Apr,600 S PINE ST,  TACOMA,   WA,-122.473618  47.254856,"47.254856, -122.473618",11:00,Friday,0,0
757,12662,1714009009,Theft From Motor Vehicle,5/19/17,May,600 S PINE ST,  TACOMA,   WA,-122.473618  47.254856,"47.254856, -122.473618",17:00,Friday,0,0
758,13143,1721009014,Theft From Motor Vehicle,7/29/17,Jul,600 S PINE ST,  TACOMA,   WA,-122.473618  47.254856,"47.254856, -122.473618",13:00,Saturday,0,0
759,14060,1731701349,Theft From Motor Vehicle,11/12/17,Nov,1000 E F ST,  TACOMA,   WA,-122.428556  47.254835,"47.254835, -122.428556",1:00,Sunday,0,0
760,12339,1708300373,Theft From Motor Vehicle,3/23/17,Mar,900 TACOMA AV S,  TACOMA,   WA,-122.444898  47.254823,"47.254823, -122.444898",7:00,Thursday,0,0
761,13579,1714709015,Theft From Motor Vehicle,5/26/17,May,900 COMMERCE ST,  TACOMA,   WA,-122.439675  47.254617,"47.254617, -122.439675",22:00,Friday,0,0
762,13020,1723809006,Theft From Motor Vehicle,8/18/17,Aug,2000 S 7TH ST,  TACOMA,   WA,-122.464595  47.254527,"47.254527, -122.464595",0:00,Friday,0,0
763,13582,1722209004,Theft From Motor Vehicle,8/9/17,Aug,2000 S 7TH ST,  TACOMA,   WA,-122.464595  47.254527,"47.254527, -122.464595",17:00,Wednesday,0,0
764,13014,1719209051,Theft From Motor Vehicle,7/10/17,Jul,100 S 10TH ST,  TACOMA,   WA,-122.438106  47.25449,"47.25449, -122.438106",8:00,Monday,0,0
765,13129,1720809008,Theft From Motor Vehicle,7/26/17,Jul,100 S 10TH ST,  TACOMA,   WA,-122.438106  47.25449,"47.25449, -122.438106",6:00,Wednesday,0,0
766,12355,1708509015,Theft From Motor Vehicle,3/26/17,Mar,700 S TYLER ST,  TACOMA,   WA,-122.493033  47.254437,"47.254437, -122.493033",1:00,Sunday,0,0
767,12131,1705709003,Theft From Motor Vehicle,2/25/17,Feb,4100 S 7TH ST,  TACOMA,   WA,-122.491663  47.254432,"47.254432, -122.491663",22:00,Saturday,0,0
768,13181,1724709008,Theft From Motor Vehicle,9/3/17,Sep,4100 S 7TH ST,  TACOMA,   WA,-122.491663  47.254432,"47.254432, -122.491663",0:00,Sunday,0,0
769,13547,1728200921,Theft From Motor Vehicle,10/8/17,Oct,3800 S 7TH ST,  TACOMA,   WA,-122.48775  47.254416,"47.254416, -122.48775",21:00,Sunday,0,0
770,11863,1702100442,Theft From Motor Vehicle,1/21/17,Jan,3700 S 7TH ST,  TACOMA,   WA,-122.485102  47.254406,"47.254406, -122.485102",0:00,Saturday,0,0
771,12878,1717309005,Theft From Motor Vehicle,6/20/17,Jun,3700 S 7TH ST,  TACOMA,   WA,-122.485102  47.254406,"47.254406, -122.485102",22:00,Tuesday,0,0
772,12270,1707509024,Theft From Motor Vehicle,3/15/17,Mar,900 S I ST,  TACOMA,   WA,-122.449335  47.254361,"47.254361, -122.449335",12:00,Wednesday,0,0
773,12245,1707109011,Theft From Motor Vehicle,3/11/17,Mar,900 MARKET ST,  TACOMA,   WA,-122.441811  47.254345,"47.254345, -122.441811",22:00,Saturday,0,0
774,13817,1722609008,Theft From Motor Vehicle,8/12/17,Aug,900 MARKET ST,  TACOMA,   WA,-122.441811  47.254345,"47.254345, -122.441811",21:00,Saturday,0,0
775,13321,1726209004,Theft From Motor Vehicle,9/16/17,Sep,700 S ANDERSON ST,  TACOMA,   WA,-122.472459  47.254308,"47.254308, -122.472459",23:00,Saturday,0,0
776,13913,1722609016,Theft From Motor Vehicle,8/13/17,Aug,2600 S 7TH ST,  TACOMA,   WA,-122.470211  47.254306,"47.254306, -122.470211",0:00,Sunday,0,0
777,11839,1701900328,Theft From Motor Vehicle,1/18/17,Jan,900 S J ST,  TACOMA,   WA,-122.450756  47.25421,"47.25421, -122.450756",20:00,Wednesday,0,0
778,13482,1710009017,Theft From Motor Vehicle,4/10/17,Apr,900 S J ST,  TACOMA,   WA,-122.450756  47.25421,"47.25421, -122.450756",5:00,Monday,3,Full Moon
779,12063,1704702275,Theft From Motor Vehicle,2/16/17,Feb,1000 COURT,  A TACOMA,   WA,-122.443916  47.253864,"47.253864, -122.443916",21:00,Thursday,0,0
780,13601,1728509037,Theft From Motor Vehicle,10/11/17,Oct,700 S VASSAULT ST,  TACOMA,   WA,-122.521138  47.253813,"47.253813, -122.521138",0:00,Wednesday,0,0
781,13982,1730609004,Theft From Motor Vehicle,11/1/17,Nov,700 S VASSAULT ST,  TACOMA,   WA,-122.521138  47.253813,"47.253813, -122.521138",17:00,Wednesday,0,0
782,12207,1706801662,Theft From Motor Vehicle,3/9/17,Mar,800 S SPRAGUE AV,  TACOMA,   WA,-122.462992  47.253711,"47.253711, -122.462992",19:00,Thursday,0,0
783,13438,1721609014,Theft From Motor Vehicle,8/3/17,Aug,800 S OAKES ST,  TACOMA,   WA,-122.471401  47.253711,"47.253711, -122.471401",0:00,Thursday,0,0
784,13003,1719202398,Theft From Motor Vehicle,7/7/17,Jul,2000 S 8TH ST,  TACOMA,   WA,-122.463779  47.253696,"47.253696, -122.463779",1:00,Friday,0,0
785,11782,1701409005,Theft From Motor Vehicle,1/13/17,Jan,1100 CLIFF AV,  TACOMA,   WA,-122.436525  47.253667,"47.253667, -122.436525",20:00,Friday,0,0
786,13210,1700809003,Theft From Motor Vehicle,1/7/17,Jan,1100 CLIFF AV,  TACOMA,   WA,-122.436525  47.253667,"47.253667, -122.436525",8:00,Saturday,0,0
787,12217,1706909003,Theft From Motor Vehicle,3/7/17,Mar,900 S SHERIDAN AV,  TACOMA,   WA,-122.456484  47.253602,"47.253602, -122.456484",4:00,Tuesday,0,0
788,12079,1705009006,Theft From Motor Vehicle,2/18/17,Feb,1000 PACIFIC AV,  TACOMA,   WA,-122.438647  47.25357,"47.25357, -122.438647",2:00,Saturday,4,Last Quarter
789,12293,1707800190,Theft From Motor Vehicle,3/18/17,Mar,1000 PACIFIC AV,  TACOMA,   WA,-122.438647  47.25357,"47.25357, -122.438647",23:00,Saturday,0,0
790,13370,1726600829,Theft From Motor Vehicle,9/23/17,Sep,3200 S 8TH ST,  TACOMA,   WA,-122.477871  47.25354,"47.25354, -122.477871",2:00,Saturday,0,0
791,13548,1728201452,Theft From Motor Vehicle,10/8/17,Oct,3800 S 8TH ST,  TACOMA,   WA,-122.486608  47.253537,"47.253537, -122.486608",20:00,Sunday,0,0
792,13729,1729600880,Theft From Motor Vehicle,10/22/17,Oct,800 S ADAMS ST,  TACOMA,   WA,-122.486608  47.253537,"47.253537, -122.486608",21:00,Sunday,0,0
793,13329,1704409012,Theft From Motor Vehicle,1/28/17,Jan,3600 S 8TH ST,  TACOMA,   WA,-122.483633  47.253527,"47.253527, -122.483633",20:00,Saturday,0,0
794,12451,1709809005,Theft From Motor Vehicle,4/8/17,Apr,6600 S 8TH ST,  TACOMA,   WA,-122.525589  47.253518,"47.253518, -122.525589",2:00,Saturday,0,0
795,13218,1701400374,Theft From Motor Vehicle,1/7/17,Jan,6600 S 8TH ST,  TACOMA,   WA,-122.525589  47.253518,"47.253518, -122.525589",0:00,Saturday,0,0
796,13465,1710009010,Theft From Motor Vehicle,4/7/17,Apr,6600 S 8TH ST,  TACOMA,   WA,-122.525589  47.253518,"47.253518, -122.525589",22:00,Friday,0,0
797,13738,1729609035,Theft From Motor Vehicle,10/22/17,Oct,6600 S 8TH ST,  TACOMA,   WA,-122.525589  47.253518,"47.253518, -122.525589",13:00,Sunday,0,0
798,14203,1724300562,Theft From Motor Vehicle,8/31/17,Aug,800 S WASHINGTON ST,  TACOMA,   WA,-122.485099  47.253518,"47.253518, -122.485099",0:00,Thursday,0,0
799,11929,1702509027,Theft From Motor Vehicle,1/25/17,Jan,800 S JUNETT ST,  TACOMA,   WA,-122.474805  47.253502,"47.253502, -122.474805",0:00,Wednesday,0,0
800,13825,1722901081,Theft From Motor Vehicle,8/16/17,Aug,3100 S 8TH ST,  TACOMA,   WA,-122.476274  47.253502,"47.253502, -122.476274",2:00,Wednesday,0,0
801,12683,1714401481,Theft From Motor Vehicle,5/23/17,May,900 S CUSHMAN AV,  TACOMA,   WA,-122.457942  47.253447,"47.253447, -122.457942",15:00,Tuesday,0,0
802,13434,1709509032,Theft From Motor Vehicle,4/4/17,Apr,900 S CUSHMAN AV,  TACOMA,   WA,-122.457942  47.253447,"47.253447, -122.457942",0:00,Tuesday,0,0
803,13799,1722400539,Theft From Motor Vehicle,8/11/17,Aug,900 S CUSHMAN AV,  TACOMA,   WA,-122.457942  47.253447,"47.253447, -122.457942",21:00,Friday,0,0
804,11986,1703500827,Theft From Motor Vehicle,2/3/17,Feb,1100 PACIFIC AV,  TACOMA,   WA,-122.438604  47.253393,"47.253393, -122.438604",20:00,Friday,2,First Quarter
805,14110,1732309001,Theft From Motor Vehicle,11/17/17,Nov,1100 PACIFIC AV,  TACOMA,   WA,-122.438604  47.253393,"47.253393, -122.438604",0:00,Friday,0,0
806,13352,1728709005,Theft From Motor Vehicle,10/12/17,Oct,1100 A ST,  TACOMA,   WA,-122.437128  47.253392,"47.253392, -122.437128",19:00,Thursday,4,Last Quarter
807,13133,1720809031,Theft From Motor Vehicle,7/25/17,Jul,1600 S 9TH ST,  TACOMA,   WA,-122.459366  47.253299,"47.253299, -122.459366",7:00,Tuesday,0,0
808,12578,1712109007,Theft From Motor Vehicle,4/30/17,Apr,800 S STATE ST,  TACOMA,   WA,-122.465669  47.253187,"47.253187, -122.465669",22:00,Sunday,0,0
809,13062,1720100542,Theft From Motor Vehicle,7/19/17,Jul,900 S GRANT AV,  TACOMA,   WA,-122.460797  47.253143,"47.253143, -122.460797",22:00,Wednesday,0,0
810,12506,1723301231,Theft From Motor Vehicle,8/21/17,Aug,800 S MEYERS ST,  TACOMA,   WA,-122.534131  47.253089,"47.253089, -122.534131",15:00,Monday,1,New Moon
811,13905,1722600610,Theft From Motor Vehicle,8/8/17,Aug,7900 N 7TH ST,  TACOMA,   WA,-122.543257  47.253055,"47.253055, -122.543257",5:00,Tuesday,0,0
812,12631,1713409008,Theft From Motor Vehicle,5/14/17,May,5200 S 9TH ST,  TACOMA,   WA,-122.506852  47.253049,"47.253049, -122.506852",3:00,Sunday,0,0
813,13160,1721300650,Theft From Motor Vehicle,7/31/17,Jul,1800 S 9TH ST,  TACOMA,   WA,-122.462653  47.252952,"47.252952, -122.462653",22:00,Monday,0,0
814,12472,1710200343,Theft From Motor Vehicle,4/12/17,Apr,800 S HOWARD ST,  TACOMA,   WA,-122.529976  47.252933,"47.252933, -122.529976",0:00,Wednesday,0,0
815,12103,1705309002,Theft From Motor Vehicle,2/21/17,Feb,1100 S 10TH ST,  TACOMA,   WA,-122.452941  47.252919,"47.252919, -122.452941",17:00,Tuesday,0,0
816,13316,1726201765,Theft From Motor Vehicle,9/16/17,Sep,1100 BROADWAY,  TACOMA,   WA,-122.439995  47.252901,"47.252901, -122.439995",22:00,Saturday,0,0
817,13382,1726709006,Theft From Motor Vehicle,9/23/17,Sep,1100 BROADWAY,  TACOMA,   WA,-122.439995  47.252901,"47.252901, -122.439995",22:00,Saturday,0,0
818,13655,1716900186,Theft From Motor Vehicle,6/17/17,Jun,1100 BROADWAY,  TACOMA,   WA,-122.439995  47.252901,"47.252901, -122.439995",23:00,Saturday,4,Last Quarter
819,13906,1724102150,Theft From Motor Vehicle,8/29/17,Aug,800 S VASSAULT ST,  TACOMA,   WA,-122.521138  47.252876,"47.252876, -122.521138",19:00,Tuesday,2,First Quarter
820,13406,1727009009,Theft From Motor Vehicle,9/25/17,Sep,900 S ADAMS ST,  TACOMA,   WA,-122.486589  47.252627,"47.252627, -122.486589",23:00,Monday,0,0
821,13597,1715809002,Theft From Motor Vehicle,6/5/17,Jun,3800 S 9TH ST,  TACOMA,   WA,-122.486589  47.252627,"47.252627, -122.486589",20:00,Monday,0,0
822,13675,1717700365,Theft From Motor Vehicle,6/25/17,Jun,3800 S 9TH ST,  TACOMA,   WA,-122.486589  47.252627,"47.252627, -122.486589",23:00,Sunday,0,0
